,title,description
5467,Without Gorky,A filmmaker trains the camera on her own family as she examines the impact her grandfather troubled artist Arshile Gorky had on three generations
5468,Sarah Silverman A Speck of Dust,In her first comedy special posthealth scare Sarah Silverman shares a mix of fun facts sad truths and yeahshejustwentthere moments
5469,Rangoon,During World War II daredevil star Miss Julia entertains soldiers at the IndoBurma border where shes caught up in a web of love and deceit
5470,Bloodline,When the black sheep son of a respected family threatens to expose dark secrets from their past sibling loyalties are put to the test
5471,Joshua: Teenager vs. Superpower,Mobilized by teenage activist Joshua Wong young citizens of Hong Kong take to the streets in a bid to preserve their history of autonomy from China
5472,Raees,After street smart kid Raees rises to become Gujarats bootlegging king in the 1980s he tries to balance his life of crime with helping his people
5473,War Machine,When a proud general is tasked with winning an unpopular war he takes the challenge headon not knowing that hubris may be his own worst enemy
5474,Arès,A futuristic France tries to keep its people from despair and rebellion over crippling poverty by engaging them with a violent TV competition show
5475,Hasan Minhaj: Homecoming King,Comic Hasan Minhaj of The Daily Show shares personal stories about racism immigrant parents prom night horrors and more in this standup special
5476,BLAME!,Inside a vast selfreplicating city bent on eliminating all life mysterious loner Killy emerges to guide a remnant of humanity desperate to survive
5477,Highland: Thailand's Marijuana Awakening,Thailands complicated history with marijuana continues to play a role in its policies and laws as well as the health and security of its citizens
5478,Laerte-se,After living as a man for nearly 60 years Laerte Coutinho one of Brazils most brilliant cartoonists introduces herself to the world as a woman
5479,The Keepers,This docuseries examines the decadesold murder of Sister Catherine Cesnik and its suspected link to a priest accused of abuse
5480,Tracy Morgan: Staying Alive,In his first special since his serious car accident Tracy Morgan cracks jokes about life in a coma his second marriage and his familys dark side
5481,Chamatkar,A village schoolteacher and the ghost of a murdered man who were both betrayed by those closest to them join forces to help each other
5482,Kabhi Haan Kabhi Naa,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves
5483,Lovesong,Best friends Sarah and Mindy share an unexpected moment while on a road trip Years later the two struggle to reconnect before a wedding
5484,Natascha Kampusch: The Whole Story,A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headlinemaking story of survival
5485,Ram Jaane,Two boyhood pals  one righteous the other a criminal  take very different paths to adulthood Their love for the same woman may prove disastrous
5486,The Devil's Mistress,Before the dawn of World War II an ambitious actress pursues her dreams in Berlin But her plans derail when she becomes Joseph Goebbels mistress
5487,Wild Oats,When insurance accidentally pays her millions retired teacher Eva and her pal Maddie head to the Canary Islands for the adventure of their lives
5488,All Hail King Julien: Exiled,Juliens been dethroned but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom
5489,Get Me Roger Stone,Examine the rise fall and rebirth of political operative Roger Stone whos been an influential member of Team Trump for decades
5490,Mindhorn,When a twisted killer tells the police hell only speak to a fictional 1980s TV detective the washedup actor who played him takes the gig
5491,Sahara,When his new love is captured by an evil snake charmer a young cobra and his scorpion best friend set out across the desert on a wild rescue mission
5492,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",In this new standup special Norm Macdonald delivers sly deadpan observations from an older  and perhaps even wiser  point of view
5493,Handsome: A Netflix Mystery Movie,Homicide detective Gene Handsome sets out to solve a womans murder while searching for clues about whats missing from his personal life
5494,Kazoops!,Music meets imagination in this inventive animated series about thinking outside the box and having fun
5495,Simplemente Manu NNa,Eclectic standup comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal
5496,The Mars Generation,Selfprofessed teenage space nerds at Space Camp chase their dreams of traveling to Mars while experts reflect on NASAs history and future
5497,Maria Bamford: Old Baby,Maria Bamford performs a rapidfire playful standup set for crowds at park benches bowling alleys and LA theaters in this roving comedy special
5498,A Yellow Bird,In Singapore a homeless exconvict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard
5499,Chaahat,A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him
5500,English Babu Desi Mem,After his brother dies wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him
5501,He Even Has Your Eyes,When FrenchAfrican couple Paul and Sali discover the longedfor baby they are about to adopt is white family chaos and confrontation ensue
5502,In the Shadow of Iris,The sudden disappearance of a wealthy bankers wife cracks open a dizzying world of secret fetishes desperate acts and elaborate deceptions
5503,JFK: The Making of a President,Explore how John F Kennedys worldview was influenced by his younger years when he endured poor health family tragedy and a demanding father
5504,Kiss & Cry,Faced with a rare form of throat cancer teen figure skater Carley Allison finds strength in singing for an online audience in this biopic
5505,Loev,Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal whos disenchanted with his boyfriend
5506,Mostly Sunny,Explore the unconventional career of Sunny Leone who transitioned from adult film star to Bollywood actress and reality TV star
5507,The Next Skin,When a withdrawn longmissing teenager reappears in a chilly alpine town his heartbroken family begins to wonder if hes actually who he says he is
5508,Casting JonBenet,Local actors from JonBenet Ramseys hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case
5509,Jumping Girl,Sangah would do anything to shield pop star Ahshin from rabid fans But after an act of protection gone wrong it looks like shes the crazy one
5510,President,An ambitious talented politician embarks on an intense journey toward winning the presidency while juggling his complicated family affairs
5511,Rodney King,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots Spike Lee directs
5512,Small Crimes,After serving a sixyear prison sentence an excop tries to rebuild his life in his hometown but gets caught up in the fallout from his past
5513,What in the World Happened?,A happy secret romance between a 40yearold woman and a 25yearold man is complicated after a greeting card grants her wish to be young again
5514,Mar de Plástico,In a town in southern Spain where racial tensions run high among the workers in its many greenhouses a cop investigates the murder of a young woman
5515,Dear Zindagi,A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity
5516,Shepherds and Butchers,When a young prison guard commits murder in South Africa an ardent lawyer aims to prove he was psychologically unbalanced by his role in executions
5517,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,In need of money an eccentric exspy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula
5518,Vir Das: Abroad Understanding,Comedian Vir Das tackles nationalism globalism good food and bad politics in two cleverly crosscut performances in New York and New Delhi
5519,Fangbone,Magically transported from faroff Skullbania a young barbarian teams up with an odd thirdgrader to protect his homeland from an evil sorcerer
5520,Girlboss,Rebellious and broke Sophia stumbles into creating an online business and learns how to be the boss A comedy inspired by the bestselling memoir
5521,Hot Girls Wanted: Turned On,Personal stories reveal how the intersection of sex technology and intimate relationships is rewiring us in fundamental ways
5522,Sand Castle,After the invasion of Iraq in 2003 a reluctant soldiers platoon is dispatched on a dangerous mission to repair a hostile villages water system
5523,The Mr. Peabody and Sherman Show,Mr Peabody and Sherman host a zany latenight comedy show from a swanky penthouse with timetraveling historical figures and a live audience
5524,Tramps,Pulled into a shady briefcase swap for different reasons young strangers Danny and Ellie spend an eventful night together when the deal goes wrong
5525,Lucas Brothers: On Drugs,Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs race Deion Sanders teachers and OJ Simpson
5526,Bibi & Tina,Teen witch Bibi and horseloving Tina face trouble when a posh girl flirts with Tinas boyfriend and a crook sets his greedy eyes on a promising foal
5527,Bibi & Tina II,When robbers hit Falkenstein castle teen witch Bibi and pal Tina hunt for the crooks then devise a plan to save the neighbors failing ranch
5528,Bibi & Tina: Girls Versus Boys,At summer camp young Bibi and her friends are pitted against the boys in a treasure hunt But whats a witch to do when she loses her powers
5529,Slam,Teen fathertobe Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol pro skateboarder Tony Hawk
5530,The Wedding Party,As their big day arrives a couples lavish wedding plans turn into a nightmare of exes fighting parents and uninvited guests
5531,Arctic Heart,Madly in love with a brilliant scientist studying an immunizing protein produced by penguins a timid med student offers her body to his research
5532,Our Lovers,A lovechallenged man and a woman he meets at a bookshop bar begin dating but only at the shop  and without knowing anything about each other
5533,Sandy Wexler,When a hapless but dedicated talent manager signs his first client who actually has talent his career finally starts to take off
5534,Macho,A famous designer whos always pretended to be gay finds himself in crisis mode when threatened with exposure as the womanchasing straight guy he is
5535,Kevin Hart: What Now?,Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife jean shorts and the fine art of getting even with a 7yearold
5536,Frat Star,A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed
5537,The Miracle,Polar opposites in personality and looks fraternal twin sisters who live completely different lives wake up one day to find theyve switched bodies
5538,The Get Down,In 1977 New York City the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history
5539,The Lighthouse of the Orcas,A mother travels to Patagonia with her autistic son with the hopes that a ranger and a pod of wild orcas can help him find an emotional connection
5540,Win It All,After losing 50000 that wasnt his gambling addict Eddie starts to rebuild his life But an unwelcome surprise pushes him toward his old ways
5541,Louis C.K. 2017,Louis CK muses on religion eternal love giving dogs drugs email fights teachers and more in a live performance from Washington DC
5542,Burned Cocoon,A secret marriage unites two families  one wealthy and traditional the other bankrupt and modern  and is threatened by the resulting conflicts
5543,Couples Counseling,A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients
5544,Deuces,Assigned to go undercover to take down an impenetrable crime ring a detective finds himself falling under the sway of its enigmatic leader
5545,Elaan,Journalist Naresh is hired to probe illegal activities on an island When hes captured a fellow prisoner gives him a ring with magic powers
5546,Five Nights in Maine,After his wife dies in a car accident a griefstricken man visits his estranged motherinlaw in Maine where they try to help each other heal
5547,Killa,Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what hes used to
5548,Life 2.0,Computer users across the globe log onto the virtual world of Second Life But some users lives are dramatically consumed by this alternate reality
5549,Salaakhen,Two close childhood friends take drastically different paths in life but meet by chance years later and fall in love unaware of their past bond
5550,Skins,Deformed disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama
5551,The Tenth Man,After spending much of his adult life in New York an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father
5552,Toro,Excon Toros brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars  if he survives at all
5553,Bridget Christie: Stand Up for Her,Performing standup for a packed house in Londons Hoxton Hall comedian Bridget Christie dives into the politics of gender sex and equality
5554,Five Came Back,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II
5555,Hoff the Record,TV star David Hasselhoff hopes to reboot his career in the UK but both his comeback plans and his personal life keep going off the rails
5556,The Discovery,A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research while his disapproving son falls for a troubled woman
5557,Jo Koy: Live from Seattle,Between raising a teenage boy and growing up with a Filipino mother standup comic Jo Koy has been through a lot Hes here to tell you all about it
5558,Bottersnikes & Gumbles,The funloving Gumbles bounce and play while staying away from the foulsmelling Bottersnikes who live in a nearby junkyard
5559,Felipe Neto: My Life Makes No Sense,YouTube sensation Felipe Neto brings the stories from his autobiographical book No Faz Sentido to the stage in this comedy special
5560,The C Word,To solve the mystery of cancer challenging the status quo is a must Witness how lifestyle and societal changes may help beat the disease
5561,The Most Hated Woman in America,This drama follows the controversial life of outspoken atheist Madalyn Murray OHair from her landmark court battles to her infamous abduction
5562,Dave Chappelle,Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering fresh standup specials
5563,One-Punch Man,The most powerful superhero in the world can kill anyone with one blow But nothing can challenge him so he struggles with ennui and depression
5564,Best Worst Thing That Ever Could Have Happened,The cast and crew of the 1981 Broadway musical Merrily We Roll Along recall joy and heartbreak during the production of a surefire hit that wasnt
5565,Deidra & Laney Rob a Train,With their mother in jail and bills piling up ambitious smalltown teens Deidra and Laney plot a series of train robberies to keep themselves afloat
5566,Julie's Greenroom,Adorable puppets stage their own musical under the watchful eye of mentor Julie Andrews in this original kids series from the Jim Henson Company
5567,Outback Truckers,Australias toughest bigrig drivers brave wildfires scorching deserts treacherous downpours and chassisdeep mud to deliver their cargo on time
5568,Pandora,When an earthquake hits a Korean village housing a rundown nuclear power plant a man risks his life to save the country from imminent disaster
5569,Samurai Gourmet,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires
5570,Howards End,When a husband acting in his familys best interest does not accept his wifes deathbed wish providence dictates that he pay for his duplicity
5571,Asoka,This elaborate Bollywood epic dramatizes one mans transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism
5572,"Bon Cop, Bad Cop",An Englishspeaking officer from Toronto and a Frenchspeaking cop from Montreal are forced to work together to solve a crime
5573,Notes on Blindness,Based on the audio diaries of academic and theologian John Hull this film offers an impressionistic recreation of his slow descent into blindness
5574,One 2 Ka 4,When his partner is killed a young cop is forced to care for the mans four children and solicits the help of a woman who moves in with them
5575,Cheer Squad,Follow the Great White Sharks a worldchampion cheerleading squad as they juggle the pressures of training school work and relationships
5576,Jim Norton: Mouthful of Shame,In this unrestricted jaunt through a gleefully filthy mind comic Jim Norton offers a personal perspective on romance desire and sexual proclivities
5577,100 Meters,A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon with his cranky fatherinlaws help
5578,Buddy Thunderstruck,Follow the outrageous highoctane adventures of Buddy Thunderstruck a truckracing dog who brings guts and good times to the town of Greasepit
5579,Burning Sands,Promising student Zurich opens his eyes to some hard truths when his fraternitys violent hazing escalates into a disastrous hell night
5580,One More Time,This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate
5581,The Butterfly's Dream,Forced to work in a coal mine during World War II two young poets find some escape when they both fall for the same woman
5582,Amy Schumer: The Leather Special,Comic sensation Amy Schumer riffs on sex dating and the absurdities of fame in a bold and uncensored standup set at Denvers Bellco Theater
5583,Love Is in the Air,Toprak who lost her baby is hired as a wet nurse for wealthy Yusufs motherless son Yusuf is drawn to Toprak but also to her scheming sister
5584,Nila,When a cabbie chances upon his childhood sweetheart he tries to rekindle old feelings but finds that mature love is a more complicated matter
5585,Tong: Memories,A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan
5586,Mike Birbiglia: Thank God for Jokes,Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets late people and the very real dangers of being funny
5587,Force 2,An excop investigates the death of his best friend and two other spies killings that lead to a mole operating from Indias embassy in Budapest
5588,Jonas,During Carnival two teens from different classes meet years after being kept apart Bad decisions lead the boy to hide with the girl inside a float
5589,Operações Especiais,In a crimeplagued area of Rio de Janeiro a team of honest cops including a determined rookie fights corruption and mistrust on all sides
5590,I Don't Feel at Home in This World Anymore,A timid nursing assistant gets a new lease on life when she and a neighborhood loner track down the degenerates who broke into her house
5591,Legend Quest,When an evil force threatens his village a gifted teen who can talk to ghosts puts his skills to good use one legend at a time
5592,The Sound of Your Heart,Based on Koreas longestrunning webtoon series this comedy follows the ridiculous daily lives of a cartoonist his girlfriend and his subpar family
5593,Love Me As I Am,After wealthy college boy mer and lower class college girl Aysem fall in love and quickly marry they learn that love and life arent always perfect
5594,Trevor Noah: Afraid of the Dark,The Daily Show host ponders the perils of naming countries how traffic lights turn New Yorkers invincible and why you shouldnt drink in Scotland
5595,Boy Missing,When her son is kidnapped and later found traumatized a lawyer takes justice into her own hands causing events that spiral out of control
5596,Growing Up Wild,Five baby animals from different parts of the world grow up learning to survive in the wild nurtured by the love and guidance of their families
5597,Tini: The New Life of Violetta,After completing a world tour a teen pop star spends the summer at an Italian villa to recover from heartbreak and grow into a mature artist
5598,Love for Ten: Generation of Youth,A nerdy engineering student falls for a pretty outgoing girl at his college To get closer to her he joins the theater group she belongs to
5599,Rocky Handsome,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drugaddicted neighbors young daughter
5600,A Heavy Heart,Long past his heyday a stillvirile boxer tries to reconnect with his daughter as he confronts the onset of a terminal degenerative neural disorder
5601,Nightmare High,After a new teacher arrives students dreams begin to come true Class president Yerim must solve the nightmarish mystery before its too late
5602,Rush: Beyond the Lighted Stage,Celebrate the remarkable 40year career of influential Canadian rockers Rush with this documentary which details the bands formation and evolution
5603,Spark,A young womans life gets a jumpstart after she and a musical genius are both struck by the same falling star But will the side effects derail love
5604,The Fury of a Patient Man,After his lover is killed in a jewelry store robbery quiet Jos romances caf owner Ana whos unaware he has other motivations
5605,The Memory of Water,When the accidental death of a couples young son sends them grieving in opposite directions theyre forced to reexamine their life and marriage
5606,Girlfriend's Day,When hes caught up in a deadly conspiracy an unemployed greeting card writer must create the perfect card for a new holiday to save his skin
5607,Katherine Ryan: In Trouble,Standup comic Katherine Ryan reminisces about unusual relationships life in the hometown she hates and the time she enraged an entire nation
5608,White Nights,A coldhearted heiress a man from her past and an ambitious new hire in her company all become entangled on a battleground for money and power
5609,Cyborg 009: Call of Justice,Years after taking up normal lives incognito the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity
5610,David Brent: Life on the Road,With The Office long in the past middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom
5611,Grillo vs Grillo,Outspoken comedian Beppe Grillo reminisces about his long career including the triumphs and controversies that fueled his rise in Italian politics
5612,Hitler - A Career,This documentary examines how Adolf Hitlers talent for manipulation psychology and imagemaking led him from humble origins to nearworld conquest
5613,"Michael Bolton's Big, Sexy Valentine's Day Special",After Santa tells him he needs 75000 new babies by Christmas to meet toy supply Michael Bolton hosts a telethon to inspire the world to make love
5614,Daniel Sosa: Sosafado,Comedian Daniel Sosa inhabits various characters including a Tupperware dealer a thirsty priest and a Trojan horse soldier in this standup special
5615,Imperial Dreams,A young father returns home from jail eager to care for his son and become a writer but crime poverty and a flawed system threaten his plans
5616,Dilwale,A young couple falls in love but conflicting loyalties drive them apart Years later fate intervenes and hands them a second chance
5617,Happy New Year,A revengeseeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest But first they have to learn how to dance
5618,Haraamkhor,A selfish manipulative schoolteacher takes advantage of a schoolgirls vulnerability to gratify his dark narcissistic desires
5619,Heroes Wanted,When its special ops agency is wiped out Spain hastily assembles a new team to defuse a terrorist plot But who are these scrappy wouldbe heroes
5620,The Reconquest,Years after they were childhood sweethearts Manuela and Olmo share a night in Madrid where they discuss their past and the possibility of a future
5621,Zapped,A girl discovers a dogtraining app that can get boys to obey her every command But she soon learns that it isnt the cureall she had hoped for
5622,Bill Burr: Walk Your Way Out,Nononsense comic Bill Burr takes the stage in Nashville and riffs on fast food overpopulation dictators and gorilla sign language
5623,Semana Santa,A single mother her boyfriend and her 8yearold son take a weeklong resort vacation during which secrets and relationship strains take their toll
5624,Journey to Greenland,When they flee Paris for a remote village in Greenland two parttime actors become immersed in the archaic Inuit culture and forge unexpected bonds
5625,IBOY,When shards of a cell phone get lodged in a teenagers brain he discovers he can control electronic devices and uses his newfound power for revenge
5626,O Silêncio do Céu,After being raped in her home a married woman chooses not to tell her husband unaware that he has his own troubled secret and a plan for revenge
5627,Cristela Alonzo: Lower Classy,The irrepressible Alonzo skewers Latino stereotypes pricey luxuries and her mothers toughlove parenting in a night of sly and infectious comedy
5628,Gad Gone Wild,French comic Gad Elmaleh regales a Montreal crowd with tales of awkward mixups and baffling customs hes encountered since moving to the US
5629,Pink,A sexual assault victim unjustly tried for the attempted murder of her attacker is defended by a retired lawyer who challenges Indias rape culture
5630,Take the 10,Two buddies working deadend cashier jobs endure a mindblowing series of events on their quest to get to the hiphop show of their lives
5631,Neal Brennan: 3 Mics,Wicked oneliners and soulbaring confessions converge in this uniquely intimate standup special from Chappelles Show cocreator Neal Brennan
5632,Berlin Calling,DJ Ickarus is at the top of his game dazzling fans and touring the world  until he gets locked in the loony bin after taking a few too many drugs
5633,Sarajevo,Tasked with unraveling the assassination of Archduke Franz Ferdinand an honorable magistrate finds himself targeted by the shadowy perpetrators
5634,Stereo,Eriks peaceful rural family life is shaken by the arrival of sinister figures who claim to know him and a mysterious friend who may not even exist
5635,We Are Young. We Are Strong.,In 1992 three radically different residents of Rostock Germany become entangled in a violent xenophobic riot that rocks the beleaguered city
5636,Casablancas: The Man Who Loved Women,The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel
5637,Clinical,A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident
5638,Very Big Shot,When three brothers struggling to go straight become targets of a criminal underworld they use the making of a movie as a front to transport drugs
5639,Jim Gaffigan: Cinco,Americas king of clean comedy delivers wickedly funny jokes in his fifth hourlong special
5640,We're Lalaloopsy,The Lalaloopsy gang and their adorable pets know every day is a perfect day to celebrate the magic of friendship creativity and collaboration
5641,Under the Shadow,During the IranIraq conflict a Tehran woman caring for her daughter while her husband is at war is gradually convinced evil spirits are at work
5642,Coin Heist,When a crisis threatens to destroy their high school four teens hatch a daring plan to raise 10 million Step one Breaking into the US Mint
5643,LEGO: Marvel Super Heroes: Maximum Overload,Villainous Loki is amassing an army to conquer Earth His antics are keeping SpiderMan and SHIELD busy as they tackle a host of bad guys
5644,Rampage: President Down,Lonewolf vigilante Bill Williamson is back taking aim at the US government and eluding the pursuit of two FBI agents who are on his trail
5645,Marvel's Hulk: Where Monsters Dwell,On Halloween the Hulk and Dr Strange battle monsters wreaking havoc on New York and uncover an evil plot by Nightmare ruler of the Dream Dimension
5646,Jen Kirkman: Just Keep Livin’?,Incisive comic Jen Kirkman gets real about womens bodies the value of alone time and an Italian private tour guide who may have been a ghost
5647,Autohead,A production crew that thinks its making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their films subject
5648,Bee Movie,Barry a worker bee stuck in a deadend job making honey sues humans when he learns theyve been stealing bees nectar all along
5649,Headwinds,After his wife inexplicably disappears a man takes their two children and relocates to his hometown in an attempt to end their grief and move on
5650,Star Trek: Deep Space Nine,In this Star Trek spinoff Commander Sisko leads the multispecies crew of Deep Space Nine a Federation space station with a complex mission
5651,Udta Punjab,Drug abuse and the darker side of Punjab rear their heads in the intense interwoven tales of a cop a doctor a migrant worker and a rock star
5652,Mr. Pig,An aging California pig farmer whose property is on the brink of foreclosure makes a lastditch trip across the border to sell his prized hog
5653,My Runway,An egotistic top male model and a pretty model wannabe are forced to live each others lives until they figure out a way to undo their body switch
5654,AJIN: Demi-Human,A teenager discovers that he is an Ajin and flees before the authorities experiment on him Other Ajin plan to fight back and he must choose a side
5655,Chasing Cameron,Go behind the scenes with social media sensation Cameron Dallas as he takes his career to the next level on an international tour
5656,7:19,After a devastating earthquake hits Mexico City trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive
5657,Garfunkel and Oates: Trying to be Special,Garfunkel and Oates put on a surprisefilled show in Seattle in hopes of raising enough money to make their own comedy special
5658,Sense8,From the creators of The Matrix and Babylon 5 comes this tense series in which eight people can telepathically experience each others lives
5659,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas
5660,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,Hawaiianshirt enthusiast Gabriel Fluffy Iglesias finds the laughs in racist gift baskets Priusdriving cops and allfemale taco trucks
5661,Barry,A young Barack Obama forges his identity while dealing with race divergent cultures and ordinary life as a New York City college student
5662,Crazyhead,Bowling alley worker Amy and nonconformist Raquel kick some serious demon butt while also facing their inner demons as they navigate their early 20s
5663,Sister Cities,After years of estrangement four sisters gather in the wake of their mothers death which may or may not have been a suicide
5664,3 Türken & ein Baby,The lives of three dissatisfied brothers running a family bridal shop turn topsyturvy when one of them has to care for his exgirlfriends baby
5665,Color of Woman,Two women at a cosmetics company compete for love and success One uses her brain and diligence while the other works her beauty and charm
5666,Eddie - Strongman,British strongman Eddie Hall wants to be the strongest man in the world This documentary reveals the grueling life choices that fuel his obsession
5667,Goodbye My Wife,A couples fiveyear marriage is put on the line when each of their first loves comes back hoping for another shot at romance
5668,Happy And,This relatable relationship drama explores the reallife trials and joys of married life through the lens of 11 different wives
5669,Heaven's Garden,When her husband goes to jail for bankruptcy a woman takes her two daughters to live with her father who severed ties with her years ago
5670,Ice Fantasy,The Ice Tribe prince journeys to a sacred mountain to vanquish evil but soon finds himself at war with the Fire Tribe led by his longlost brother
5671,Immortal Classic,Two renowned culinary families led by legendary food icons battle for the position of greatest chef while protecting their secret kimchee recipes
5672,InuYasha,Yanked down a well schoolgirl Kagome Higurashi emerges in feudal Japan where she must reassemble a sacred jewel while eluding halfdemon Inuyasha
5673,K-POP Extreme Survival,Seung Yeon decides to chase her dream of becoming a Kpop star and audition for a popular group Theres only one catch Its a boy band
5674,Merlin,This familyoriented retelling of the King Arthur legend finds Merlin arriving in Camelot where he hones his magic skills with the help of his uncle
5675,Miss Panda & Mr. Hedgehog,When a gifted patissier with a gloomy past meets a bright and easygoing caf owner he begins to shed his thorns and learns to love again
5676,Sand Storm,When a Bedouin patriarch takes a second bride his first wife chafes against her changing status while his daughter chases her own dreams of autonomy
5677,Tokyo Trial,In the wake of World War II 11 Allied judges are tasked with weighing the fates of Japanese war criminals in a tense international trial
5678,Ricardo O'Farrill: Abrazo navideño,The expressive Ricardo OFarrill uses his astute comedic sensibilities to tease Christmas traditions and not even Santa Claus escapes unscathed
5679,Asperger's Are Us,A comedy troupe of four friends on the autism spectrum prepares for a final show before its members go their separate ways
5680,Captive,This documentary series reconstructs historys most complex highstakes hostage negotiations as kidnapping victims recount their terrifying ordeals
5681,Mariah Carey's Merriest Christmas,Pop music superstar Mariah Carey hosts this allstar holiday celebration with special guests and a celebrity reading of The Night Before Christmas
5682,Spectral,When an otherworldly force wreaks havoc on a wartorn European city an engineer teams up with an elite Special Ops unit to stop it
5683,White Rabbit Project,Kari Byron Tory Belleci and Grant Imahara rank historys greatest inventions heists and more in this series from the producers of MythBusters
5684,Miss in Kiss,A quirk of fate sends an ordinary sweetnatured high school girl and her father into the home of the school genius on whom she has a huge crush
5685,Other People,After a bad breakup a struggling New York comedy writer tries to don a brave face and care for his dying mother in Sacramento
5686,The Cuba Libre Story,This documentary series recounts the tumultuous history of Cuba a nation of foreign conquest freedom fighters and Cold War political machinations
5687,Blue Jay,Two former high school sweethearts unexpectedly reunite in their old hometown where they rediscover their magical bond and face a shared regret
5688,One in a Billion,Follow the journey of Satnam Singh Bhamara as he works to fulfill his dream of becoming the first Indiaborn player to be drafted into the NBA
5689,Reggie Watts: Spatial,The comic innovator delivers a surreal set blending experimental songs jokes about grits guns and drugs and other improvised comedy adventures
5690,From Dusk Till Dawn,Bankrobbing brothers encounter vengeful lawmen and demons south of the border in this original series based on Robert Rodriguez cult horror film
5691,Mercenary,When he defies his cruel father and leaves New Caledonia to play rugby in France young Soane learns hard lessons about life love and success
5692,Lost & Found Music Studios,Teen singerssongwriters in an elite music program form bonds of friendship creativity and romance while turning their passion into their profession
5693,For the Love of Spock,The son of actor Leonard Nimoy directs this moving look at his fathers portrayal of Spock the iconic Star Trek character he played for 50 years
5694,White Girl,A college girl romping through New York City in search of cocaine and other highs finds something real to grasp only to see it potentially slip away
5695,#Rucker50,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players
5696,1000 Rupee Note,After randomly receiving a handsome political bribe a sweet poor elderly woman decides to treat herself a shopping spree which doesnt go smoothly
5697,Across Grace Alley,A young boy upset by his parents divorce becomes infatuated with his grandmothers neighbor an entrancing dancer he watches through a window
5698,Asu Mare 2,To win the heart of his true love  a highsociety girl  a hapless commoner plots to change his identity and avoid his embarrassing friends
5699,Back to 1989,A young man whos learned nothing about his father from his single mom has a freak accident that sends him back to 1989 the year before he was born
5700,Bromance,Yanuos been raised as a boy Now at age 25 shes caught the eye of a triad leaders sister But what happens when she reveals her true gender
5701,Interrogation,In this factbased drama politically motivated cops in Andhra Pradesh set out to frame four Tamil laborers for a crime torturing them to no avail
5702,Rainbow Time,A developmentally disabled man obsessed with the Fonz guns and all things kinky poses a challenge for his arrogant brother when he moves in with him
